Username,Rapid Rating,Blitz Rating,Puzzle Rating
2diewithyourbootson,812,1225,1630
2e5090,1040,588,892
2ez4a3z,1026,296,510
2ezgg,1117,1234,1746
2ezy2pzy,694,591,400
2fknfast4u,865,590,593
2glory,902,584,412
2good4u_lel,1345,1200,2097
2goodrooking,1267,1343,1728
2inchesofheaven,876,837,1349
2jjs,630,563,812
2jono,1108,917,1623
2justincase3,1216,857,437
2kaiserin,734,318,465
2kings22,934,803,872
2korchess,797,622,694
2ksus,672,634,1131
2leet2beat,1137,847,1638
2me93,1151,886,1418
2oo3,1619,1616,1225
2oodle,864,533,1232
2th3moon,1003,823,1184
2v_y2,988,929,742
2whiteknights,1163,703,512
2winturbo,1145,954,876
2xqt,1245,948,1068
2yroldgorilla,1232,769,512
300cc2t,901,860,801
301resa,836,573,1188
3113nn,1211,919,431
316stain,1575,1553,2078
317sim,1526,1348,1835
321kz123,1510,1428,2401
321torps,1333,993,1239
3358494986,1225,1493,1867
33threemason,1058,1044,1264
34027,945,730,1046
35guitar,1448,1363,1757
360noscope2siq4u,584,562,1200
360pasta,1207,973,1332
36checkmates,1153,970,911
3dchess1,895,458,906
3drick,748,442,606
3dster,1038,603,1469
3ert0,508,441,577
3gh2,982,1001,1381
3lijahbardo,602,1204,786
3llfont,859,830,435
3manoman,613,410,410
3mflattiedog,669,1032,911
3min3m1,895,550,1172
3monthswages,845,506,1262
3nigma_404,1356,1074,1598
3pills,960,1002,1188
3rdeye1111,891,693,801
3rdgrandmeistro,1064,770,1207
3rd_derivative_postn,2086,2191,2602
3rian0,1136,1026,1925
3thanmilo,1100,818,1450
3ugene,1474,1209,2254
3um_l0rd,667,563,438
3v4ng310,760,826,867
3xpr3ss,478,458,1219
401821,1562,1490,2184
402canela,1154,872,1473
404notfound3,822,1017,1565
40824sam,964,914,1512
41peacheswithsauce,1094,858,1576
420carot,510,173,404
420chessbot420,1155,1013,1807
420chessgodess,879,712,1102
420earl,537,396,429
420jackson,602,426,399
420ritardo,1035,825,1212
420sanchez69,1340,1603,1570
4276man,955,786,1198
43duacye,716,700,550
44dk44,1674,1348,1288
454memerino,1192,644,1265
46h1,998,639,572
46juve,1239,1201,1333
495208341,1214,1062,1848
4bog2,1206,946,1679
4bs,1418,1006,2089
4cedmove,1805,1358,2193
4cefull,1170,847,420
4dimensions200,736,605,1419
4extra,933,687,889
4funwintrader,719,864,1285
4lex21,1096,983,784
4mhcl,969,1347,2225
4mmjl,1217,1075,1025
4orces,1147,745,1308
4ourrr,1011,947,1642
4par,971,688,1382
4rk1,1531,1269,2278
4ryonn08,1190,1052,1849
4sbwithu,1399,1490,1355
4six3757,662,516,813
4skin69,750,467,1139
4themusic,563,610,784
4tpase,1568,1318,610
4w350m3yeeter,1050,706,1298
4wk0,583,422,917
4wko,1171,765,1275
4x4roads,962,719,613
4zlol,1130,838,987
50iqlol,842,789,1665
50lashes,1988,2026,2402
50schild,1752,1518,2240
51o,451,221,469
5253jake,749,902,1165
52factor,868,646,1489
54joltz,1043,901,1199
54m2007,557,1075,806
55000brad,592,474,767
55863,1429,1479,2460
55hvc,764,725,853
57leonard,836,1007,1300
5ah3r,1500,1473,1475
5eisepic,1144,1166,1760
5h1vam,1053,876,1191
5headchamp,860,657,466
5headplai,721,665,1028
5herman5,1066,564,1801
5hitposting,823,502,1431
5ht2a_r,1046,622,1463
5htdeficiency,1687,979,1724
5n0w1,724,468,390
5ninjaboys,760,1239,561
5pecial,1061,701,1082
5sehc,1177,860,1003
5tduban,576,294,693
5thace,924,379,1202
5yardquinn,1039,546,1225
5yearoldgeneral,913,778,1066
6-feet-tall,796,423,1410
62malvern,1819,1595,2732
637nodnol,672,537,588
63twig,1370,916,795
64squareflair,1058,584,1098
666aaron,551,271,429
66diesel,906,861,683
68kai,588,820,877
68moose,988,899,819
6942isverybigbrain,1363,1409,2252
69afroboy69,972,631,1143
69bigweeweebaby420,1314,838,1233
69chessnoob691,1260,896,1784
69fossil,759,1022,591
69fsih420,1091,820,1092
69hahafunnynumber,971,306,1517
69harro4u,1244,1192,1378
69jim69,450,553,723
69mainman,1067,1003,1195
69ohbabyatripple,327,100,473
69queenslayer,939,640,1012
69rayhan69,1001,638,1555
69sk8rboi420,715,893,1368
69slipperygypsies,579,1012,842
69tafru,847,472,1369
69_funny_number_lmao,398,648,786
6beersdeep,1549,1405,434
6chem,379,192,728
6dylan9,1002,286,1625
6exuled,1153,674,1450
6fedlane,528,665,425
6fred6,741,468,422
6herman6,989,758,1558
6howtochess9,1460,1312,1533
6ix9inefan1,1380,1113,1868
6ofspades,997,901,1431
6orlando9,1219,1127,778
6reatmate,915,867,508
6rick6,1317,988,2264
70moonlions,713,544,1333
711lo,921,832,475
71onn,1066,659,1143
7575u,827,693,1126
75greg,456,584,432
7625el,1229,1108,428
7777777apple,1262,969,1220
777ben777,844,1090,1203
777skux,1211,1173,1922
77chris77,1165,1164,1025
77deranged77,484,360,541
77mb77,943,673,1582
77_andres_77,981,862,423
78shags,672,434,412
7amaankhan,1044,980,515
7arvis,659,428,1126
7costanza,412,108,413
7elevin,1083,1054,1480
7kubsoneq7,1010,801,963
7liverpool7,873,1268,468
7lordc,1376,1001,1967
7luigi,819,984,787
7plyordie,1671,1525,2098
7row,1565,941,1070
7thbestcheckerspro,812,662,800
7three1,1135,792,1741
7yler17,955,628,1176
7zer0,858,813,1006
80scrim,1372,993,799
818181818181,881,836,557
84clay,1054,878,1310
84strikes,1121,847,885
8631,1701,1634,2290
8763,1330,1215,1494
886014,625,529,1219
888charms,1310,1416,2142
88legoman,906,659,757
88uwotm88,1221,921,1187
88wadey88,878,621,1351
88yinyang,1177,1124,801
8alakae,765,720,544
8auer,1266,900,1238
8bitsmash,940,507,1337
8fj4nd,271,307,412
8jet88,1405,1290,2011
8juice8,674,334,402
8njmn,556,437,1000
8o6v,417,452,1036
911s3n,1039,1056,426
92344453,1119,1088,2061
95jamesk,1157,1027,1798
960ax3,804,518,1169
97grandmaster,1212,1123,1310
9876543210-1,1284,1026,1309
98ncwj,1159,542,1591
992judah,1151,661,1398
9999100a,957,746,434
99jjj,1164,1018,718
99mmhh,538,274,1139
99tushi05,973,940,1187
99_crepperman,509,594,446
9kthanatos,1068,619,1676
9peaks,1168,834,452
9to5grind,1091,542,437
9vantage06,638,310,787
9yane,1349,1076,1849
9_inch_potato,1180,1033,1600
9_of_diamonds,942,1037,1052
a-a-ron_076,1414,1022,1317
a-janx,628,522,438
a-l-e-x84,913,662,1486
a-nuke,573,768,464
a-voided,730,511,491
a-zarghami,1790,1446,1584
a0_chess,237,285,387
a1discovery,999,592,1006
a1i2a3,1327,1052,986
a1winning,1168,1286,2456
a1yk,838,824,1473
a380-800f3,1309,1541,1911
a4015,408,310,998
a56sn7,536,936,573
a6m4,575,805,663
a7medoo777,1166,805,1117
a7x6c,1177,1312,1464
a83s,1090,982,1487
a99999999999999999hi,791,467,1163
aa2k5,1414,672,1589
aaa1835,1204,1073,1468
aaaaaaaa2343,602,600,814
aaaaaaaaaaaaa13,1395,1174,1325
aaaaalexz,821,865,808
aaaakim,1095,1103,1967
aaaarrow,1131,891,488
aaabbb1234,918,842,702
aaahhhhhhhhhhhhhhh,822,592,1385
aaahhoo,1025,1049,1192
aaamarion,1418,1621,2040
aaardvark,1393,1238,2208
aaarrooonnm,892,983,568
aaazzl,883,846,1127
aab0001,1253,918,810
aabb465270,998,646,1067
aabdult,1125,664,834
aabtaz,1140,1113,1340
aachessman,1196,1215,436
aad1tya88,761,493,1000
aadharshkrishnaa,204,163,1008
aadi1407,1283,1010,530
aadog36,864,755,576
aady20,1300,854,1695
aadyr07,392,904,867
aaha28,1214,1675,2129
aahaktan,935,501,485
aahil729,494,205,412
aaigoo,1358,1482,1854
aaikom,412,204,447
aajackson,842,604,938
aajjaa1,1228,917,1260
aajosipstrekelj,996,1071,1252
aakk456,1033,1113,502
aalexwatson,696,812,1290
aalteo,852,619,514
aamrose,695,241,991
aamyy,604,572,446
aandrewxyz,1071,846,1138
aang71820,1110,679,482
aanil4,996,796,1362
aapology,1322,1130,800
aar0nknee,653,414,387
aarav-47,1108,811,816
aarav1399,675,1379,439
aaravharman,1066,1142,1020
aaravranuva,666,1266,816
aaravsmallpp69,845,406,792
aardvrk,280,952,406
aaribsyed,753,345,400
aariel04,998,927,1525
aarnav710,1617,1577,1526
aarnav750,1440,1510,1948
aarnavpunj,883,895,1184
aarniosh,1502,1064,1692
aarnv,662,962,556
aaro0,1335,1056,1962
aaron-maher,1018,888,1360
aaron24711,933,744,1380
aaron5418,984,830,409
aaron616,707,668,495
aaronalaska2,1185,953,1590
aaronb12324554,777,624,871
aaronchini,925,881,1080
aaronchiswell,1309,1203,845
aaronchung2021,1486,1727,1382
aaronclark34,619,708,1483
aaronct30,1199,1115,782
aaroncuzkelly,809,603,1078
aarongomez8,1426,1715,2334
aarongumapon,1216,674,1064
aaronhusovic,952,794,1150
aaronjoel22,620,577,412
aaronk1ng,1397,1180,1982
aaronkeddie,1166,1223,1098
aaronlaiyiengheng,1047,869,745
aaronlambert,1382,1384,1881
aaronlange,1430,1174,1285
aaronlev210,1393,993,1703
aaronlikesgogs1234,1072,724,1011
aaronlin08,520,638,485
aaronm97,699,731,1356
aaronmason01,846,644,531
aaronmedcalf,1095,788,1740
aaronmorgan3011,680,650,893
aaronrkiss,912,942,1386
aarons76,590,594,566
aarons92,959,897,1219
aaronshort,1080,997,926
aaronsmannequin,901,634,1118
aaronsomebody,1060,590,439
aaronwvtts,1229,1345,2302
aaronxxiv,524,236,411
aaronzimpel,962,463,1120
aaron_bell,845,631,595
aaron_kahland,1002,974,1431
aarules234,1004,1571,2268
aaryagadham,734,781,387
aaryanissick,1094,670,956
aaryasood,492,141,490
aatata,919,735,886
aathavanshan,1422,1112,1419
aatta,1243,607,1106
aattrox,776,622,857
aawman,876,429,410
aayan2012,1633,1542,1713
aayan2015,1667,1587,2618
aayanejaz,845,1092,425
aayankum,544,422,486
aaydenjrena,432,404,1088
aayu-patel,1329,1428,1010
aayush77700,821,1009,436
aa_1b,1221,973,1645
ab0105,901,1063,462
ab6262,567,483,419
ab91103,1331,743,1476
ab959,970,815,1865
abababs,863,473,1245
ababic404,992,977,822
ababyelephant,1030,1335,940
abadcharacter,1382,1245,879
abaddon299,1240,1093,1484
abaganuve,1633,1506,1646
abaird03,1337,1077,1571
abakik,1438,1044,1758
abaluhya,1007,1600,1099
abanana79,919,713,793
abang_bobby,1068,722,820
abankub,783,1398,403
abarrak,1209,989,821
abas0011,1026,774,1383
abasne10,1473,1021,1321
abax27,1136,1046,949
abaxius,915,419,1240
abbacddc,995,1105,1595
abbakus,1473,391,1200
abbasgholimirza,1636,1898,2768
abbeforththe2nd,855,1044,609
abbiemac_26,755,690,458
abbienp,1048,779,811
abbmej,1122,624,767
abbreviations,1264,1029,1407
abbsofsteel,954,968,948
abbygonzales,1399,1217,808
abc202009,1077,745,1981
abcdefghij62,811,719,393
abcdefgu,1776,1740,2483
abcpassword123,993,780,1186
abczyxabczyx,1341,828,2096
abc_oxl,1157,980,1927
abdifatahai,1028,500,1051
abdoo12,1074,1075,2015
abdulfatahnebi,1192,1107,1449
abduselam1,1299,1213,1003
abe123442,1373,1307,1809
abedoc11,1115,1051,870
abee247,832,647,1050
abekensir,971,817,1689
abekhalil,1654,1679,2175
abelewis97,1060,806,1193
abelfarrell,1121,900,1142
abelhawkins,1194,1159,1485
abenje,989,767,1372
abesanchez43,1316,1157,1978
abetribe,924,656,1285
abeywardhana,351,903,387
abezky,712,807,423
abgru,1266,1014,1911
abgupta07,786,673,403
abhay_bhatia,1612,1570,1387
abhi2900,2083,2111,1753
abhi341,1383,1299,1026
abhi35991,1265,1396,1019
abhi6672,989,748,1198
abhi9033,1247,1083,1444
