Username,Rapid Rating,Blitz Rating,Puzzle Rating
a1i2a3,1327,1052,986
a1winning,1168,1286,2456
a1yk,838,824,1473
a380-800f3,1309,1541,1911
a4015,408,310,998
a56sn7,536,936,573
a6m4,575,805,663
a7medoo777,1166,805,1117
a7x6c,1177,1312,1464
a83s,1084,982,1487
a99999999999999999hi,791,467,1163
aa2k5,1414,672,1589
aaa1835,1204,1073,1468
aaaaaaaa2343,602,600,814
aaaaaaaaaaaaa13,1395,1174,1325
aaaaalexz,821,865,808
aaaakim,1095,1103,1967
aaaarrow,1131,891,488
aaabbb1234,918,842,702
aaahhhhhhhhhhhhhhh,822,592,1385
aaahhoo,1025,1049,1192
aaamarion,1418,1621,2040
aaardvark,1393,1238,2208
aaarrooonnm,892,991,568
aaazzl,883,846,1127
aab0001,1263,918,810
aabb465270,998,646,1067
aabdult,1125,664,834
aabtaz,1132,1113,1340
aachessman,1196,1215,436
aad1tya88,785,493,1000
aadharshkrishnaa,204,163,1008
aadi1407,1283,1010,530
aadog36,864,755,576
aady20,1300,854,1695
aadyr07,392,904,867
aaha28,1214,1675,2129
aahaktan,935,501,485
aahil729,494,205,412
aaigoo,1358,1482,1854
aaikom,412,204,447
aajackson,842,596,938
aajjaa1,1228,917,1260
aajosipstrekelj,996,1071,1252
aakk456,1033,1113,502
aalexwatson,696,812,1290
aalteo,852,619,514
aamrose,695,241,991
aamyy,604,572,446
aandrewxyz,1071,846,1138
aang71820,1110,679,482
aanil4,996,796,1362
aapology,1322,1130,800
aar0nknee,653,414,387
aarav-47,1108,811,816
aarav1399,676,1379,439
aaravharman,1066,1142,1020
aaravranuva,666,1266,816
aaravsmallpp69,845,406,792
aardvrk,280,952,406
aaribsyed,753,345,400
aariel04,998,927,1525
aarnav710,1617,1577,1526
aarnav750,1440,1510,1948
aarnavpunj,875,895,1184
aarniosh,1502,1064,1692
aarnv,668,962,556
aaro0,1345,1056,1962
aaron-maher,1018,888,1360
aaron24711,933,744,1380
aaron5418,984,830,409
aaron616,707,668,495
aaronalaska2,1185,953,1590
aaronb12324554,777,624,871
aaronchini,925,881,1080
aaronchiswell,1309,1203,845
aaronchung2021,1486,1727,1382
aaronclark34,619,708,1483
aaronct30,1199,1115,782
aaroncuzkelly,809,603,1078
aarongomez8,1426,1732,2334
aarongumapon,1216,674,1064
aaronhusovic,952,794,1150
aaronjoel22,620,577,412
